name,address,description,styleUrl,ExtendedData/Data/0/value,ExtendedData/Data/0/_name,ExtendedData/Data/1/value,ExtendedData/Data/1/_name,ExtendedData/Data/2/value,ExtendedData/Data/2/_name,ExtendedData/Data/3/value,ExtendedData/Data/3/_name,ExtendedData/Data/4/value,ExtendedData/Data/4/_name,ExtendedData/Data/5/value,ExtendedData/Data/5/_name,ExtendedData/Data/6/value,ExtendedData/Data/6/_name,ExtendedData/Data/7/value,ExtendedData/Data/7/_name,ExtendedData/Data/8/value,ExtendedData/Data/8/_name,ExtendedData/Data/9/value,ExtendedData/Data/9/_name,ExtendedData/Data/10/value,ExtendedData/Data/10/_name,ExtendedData/Data/11/value,ExtendedData/Data/11/_name,ExtendedData/Data/12/value,ExtendedData/Data/12/_name,ExtendedData/Data/13/value,ExtendedData/Data/13/_name
Beraca SDA Church,91-19 191st Street Hollis NY 11423,Contact: Yvose Cruz / Marie<br>Phone: 347-484-0913; 718-341-9494<br>Program Type: Pantry<br>Address: 91-19 191st Street<br>City: Hollis<br>State: NY<br>ZIP Code: 11423<br>Monday: closed<br>Tuesday: closed<br>Wednesday: 10:00 AM - 11:00 AM<br>Thursday: closed<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Yvose Cruz / Marie,Contact,347-484-0913; 718-341-9494,Phone,Pantry,Program Type,91-19 191st Street,Address,Hollis,City,NY,State,11423,ZIP Code,closed,Monday,closed,Tuesday,10:00 AM - 11:00 AM,Wednesday,closed,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Beth Hark Christian Counseling Center,1832 Madison Avenue New York NY 10035,Contact: William Clark<br>Phone: 212-860-1520<br>Program Type: Pantry<br>Address: 1832 Madison Avenue<br>City: New York<br>State: NY<br>ZIP Code: 10035<br>Monday: -<br>Tuesday: 12:00 PM - 03:30 PM<br>Wednesday: closed<br>Thursday: closed<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,William Clark,Contact,212-860-1520,Phone,Pantry,Program Type,1832 Madison Avenue,Address,New York,City,NY,State,10035,ZIP Code,-,Monday,12:00 PM - 03:30 PM,Tuesday,closed,Wednesday,closed,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Bethany United Methodist Church,1208 St Johns Place Brooklyn NY 11213,Contact: Vera Burnett<br>Phone: 718-774-6753<br>Program Type: Soup Kitchen<br>Address: 1208 St Johns Place<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11213<br>Monday: closed<br>Tuesday: 12:30 PM - 02:30 PM<br>Wednesday: closed<br>Thursday: closed<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-1A237E,Vera Burnett,Contact,718-774-6753,Phone,Soup Kitchen,Program Type,1208 St Johns Place,Address,Brooklyn,City,NY,State,11213,ZIP Code,closed,Monday,12:30 PM - 02:30 PM,Tuesday,closed,Wednesday,closed,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Bethel AME Church,215 Beach 77th Street Arverne NY 11692,Contact: Artie Crawford<br>Phone: Office 718-474-7712 and Cell 516-503-9715<br>Program Type: Pantry<br>Address: 215 Beach 77th Street<br>City: Arverne<br>State: NY<br>ZIP Code: 11692<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: 11:00 AM - 01:00 PM<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Artie Crawford,Contact,Office 718-474-7712 and Cell 516-503-9715,Phone,Pantry,Program Type,215 Beach 77th Street,Address,Arverne,City,NY,State,11692,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,11:00 AM - 01:00 PM,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Bethel AME Church,50 West 132nd Street New York NY 10037,Contact: Mckinley Smith Jr.<br>Phone: 646-406-1359<br>Program Type: Pantry<br>Address: 50 West 132nd Street<br>City: New York<br>State: NY<br>ZIP Code: 10037<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: 09:30 AM - 11:30 AM<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Mckinley Smith Jr.,Contact,646-406-1359,Phone,Pantry,Program Type,50 West 132nd Street,Address,New York,City,NY,State,10037,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,09:30 AM - 11:30 AM,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Bethel Community Outreach,344 Tompkins Avenue Brooklyn NY 11216,Contact: Shawn Monestine<br>Phone: 917-334-9905<br>Program Type: Pantry<br>Address: 344 Tompkins Avenue<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11216<br>Monday: closed<br>Tuesday: 07:00 PM - 09:00 PM<br>Wednesday: closed<br>Thursday: closed<br>Friday: 07:00 PM - 09:00 PM<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Shawn Monestine,Contact,917-334-9905,Phone,Pantry,Program Type,344 Tompkins Avenue,Address,Brooklyn,City,NY,State,11216,ZIP Code,closed,Monday,07:00 PM - 09:00 PM,Tuesday,closed,Wednesday,closed,Thursday,07:00 PM - 09:00 PM,Friday,closed,Saturday,closed,Sunday
Bethel Gospel Tabernacle Church,110-25 Guy R Brewer Blvd Jamaica NY 11433,Contact: Currin Willson<br>Phone: 718-454-2950<br>Program Type: Pantry<br>Address: 110-25 Guy R Brewer Blvd<br>City: Jamaica<br>State: NY<br>ZIP Code: 11433<br>Monday: closed<br>Tuesday: closed<br>Wednesday: 9:30 AM - 11:30 PM<br>Thursday: closed<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Currin Willson,Contact,718-454-2950,Phone,Pantry,Program Type,110-25 Guy R Brewer Blvd,Address,Jamaica,City,NY,State,11433,ZIP Code,closed,Monday,closed,Tuesday,9:30 AM - 11:30 PM,Wednesday,closed,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Bethel Gospel Tabernacle Church,110-25 Guy R Brewer Blvd Jamaica NY 11433,Contact: Currin Wilson<br>Phone: <br>Program Type: Soup Kitchen<br>Address: 110-25 Guy R Brewer Blvd<br>City: Jamaica<br>State: NY<br>ZIP Code: 11433<br>Monday: -<br>Tuesday: 12:00 PM - 2:00 PM<br>Wednesday: -<br>Thursday: -<br>Friday: 12:00 PM - 2:00 PM<br>Saturday: -<br>Sunday: -,#icon-1899-1A237E,Currin Wilson,Contact,,Phone,Soup Kitchen,Program Type,110-25 Guy R Brewer Blvd,Address,Jamaica,City,NY,State,11433,ZIP Code,-,Monday,12:00 PM - 2:00 PM,Tuesday,-,Wednesday,-,Thursday,12:00 PM - 2:00 PM,Friday,-,Saturday,-,Sunday
Bethel Prayer Ministries,4262 Third Avenue Bronx NY 10457,Contact: Ebenezer Ardwark<br>Phone: 646-228-4510<br>Program Type: Pantry<br>Address: 4262 Third Avenue<br>City: Bronx<br>State: NY<br>ZIP Code: 10457<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: closed<br>Friday: closed<br>Saturday: 09:00 AM - 12:00 PM<br>Sunday: closed,#icon-1899-F57C00,Ebenezer Ardwark,Contact,646-228-4510,Phone,Pantry,Program Type,4262 Third Avenue,Address,Bronx,City,NY,State,10457,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,closed,Thursday,closed,Friday,09:00 AM - 12:00 PM,Saturday,closed,Sunday
Bethel Seventh-Day Adventist Church,457 Grand Avenue Brooklyn NY 11238,Contact: Olga Manns<br>Phone: 718-450-1842<br>Program Type: Pantry<br>Address: 457 Grand Avenue<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11238<br>Monday: closed<br>Tuesday: closed<br>Wednesday: 03:00 PM - 05:00 PM<br>Thursday: closed<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Olga Manns,Contact,718-450-1842,Phone,Pantry,Program Type,457 Grand Avenue,Address,Brooklyn,City,NY,State,11238,ZIP Code,closed,Monday,closed,Tuesday,03:00 PM - 05:00 PM,Wednesday,closed,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Bethel Seventh-Day Adventist Church,457 Grand Avenue Brooklyn NY 11238,Contact: Olga Manns<br>Phone: 718-783-3630<br>Program Type: Soup Kitchen<br>Address: 457 Grand Avenue<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11238<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: closed<br>Friday: closed<br>Saturday: closed<br>Sunday: 01:00 PM - 02:00 PM,#icon-1899-1A237E,Olga Manns,Contact,718-783-3630,Phone,Soup Kitchen,Program Type,457 Grand Avenue,Address,Brooklyn,City,NY,State,11238,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,closed,Thursday,closed,Friday,closed,Saturday,01:00 PM - 02:00 PM,Sunday
Bethesda Missionary Baptist Church,179-09 Jamaica Avenue Jamaica NY 11432,Contact: Brenda Baker<br>Phone: 917-365-7770<br>Program Type: Pantry<br>Address: 179-09 Jamaica Avenue<br>City: Jamaica<br>State: NY<br>ZIP Code: 11432<br>Monday: closed<br>Tuesday: closed<br>Wednesday: 07:30 AM - 10:00 AM<br>Thursday: closed<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Brenda Baker,Contact,917-365-7770,Phone,Pantry,Program Type,179-09 Jamaica Avenue,Address,Jamaica,City,NY,State,11432,ZIP Code,closed,Monday,closed,Tuesday,07:30 AM - 10:00 AM,Wednesday,closed,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Bethesda Missionary Baptist Church,179-09 Jamaica Avenue Jamaica NY 11432,Contact: Brenda Baker<br>Phone: 917-365-7770<br>Program Type: Soup Kitchen<br>Address: 179-09 Jamaica Avenue<br>City: Jamaica<br>State: NY<br>ZIP Code: 11432<br>Monday: 12:00 PM - 01:30 PM<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: 12:00 PM - 01:30 PM<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-1A237E,Brenda Baker,Contact,917-365-7770,Phone,Soup Kitchen,Program Type,179-09 Jamaica Avenue,Address,Jamaica,City,NY,State,11432,ZIP Code,12:00 PM - 01:30 PM,Monday,closed,Tuesday,closed,Wednesday,12:00 PM - 01:30 PM,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Bethlehem Nation's Food Pantry,1962 Linden Blvd Brooklyn NY,Contact: Lorraine Camp<br>Phone: 347-304-8516<br>Program Type: Pantry<br>Address: 1962-84 Linden Blvd<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11207<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: closed<br>Friday: closed<br>Saturday: 10:00 AM - 12:00 PM<br>Sunday: closed,#icon-1899-F57C00,Lorraine Camp,Contact,347-304-8516,Phone,Pantry,Program Type,1962-84 Linden Blvd,Address,Brooklyn,City,NY,State,11207,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,closed,Thursday,closed,Friday,10:00 AM - 12:00 PM,Saturday,closed,Sunday
BFFY - Our Lady of Lourdes Outreach,92-96 220th Street Queens Village NY 11428,Contact: Sister Kathy Hickey<br>Phone: 718-479-0924<br>Program Type: Pantry<br>Address: 92-96 220th Street<br>City: Queens Village<br>State: NY<br>ZIP Code: 11428<br>Monday: 10:00 AM - 04:00 PM<br>Tuesday: 10:00 AM - 04:00 PM<br>Wednesday: 10:00 AM - 04:00 PM<br>Thursday: closed<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Sister Kathy Hickey,Contact,718-479-0924,Phone,Pantry,Program Type,92-96 220th Street,Address,Queens Village,City,NY,State,11428,ZIP Code,10:00 AM - 04:00 PM,Monday,10:00 AM - 04:00 PM,Tuesday,10:00 AM - 04:00 PM,Wednesday,closed,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Black Forum of Coop City Inc,920 Baychester Avenue Bronx NY 10475,Contact: Lisa Annor<br>Phone: 718-320-8035<br>Program Type: Pantry<br>Address: 920 Baychester Avenue<br>City: Bronx<br>State: NY<br>ZIP Code: 10475<br>Monday: closed<br>Tuesday: 10:00 AM - 12:00 PM<br>Wednesday: closed<br>Thursday: 10:00 AM - 12:00 PM<br>Friday: 10:00 AM - 12:00 PM<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Lisa Annor,Contact,718-320-8035,Phone,Pantry,Program Type,920 Baychester Avenue,Address,Bronx,City,NY,State,10475,ZIP Code,closed,Monday,10:00 AM - 12:00 PM,Tuesday,closed,Wednesday,10:00 AM - 12:00 PM,Thursday,10:00 AM - 12:00 PM,Friday,closed,Saturday,closed,Sunday
Black Veterans for Social Justice,665 Willoughby Avenue Brooklyn NY 11206,Contact: Muriel Frazier<br>Phone: 718-852-6004 ext.255<br>Program Type: Pantry<br>Address: 665 Willoughby Avenue<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11206<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: closed<br>Friday: 08:00 AM - 09:00 AM<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Muriel Frazier,Contact,718-852-6004 ext.255,Phone,Pantry,Program Type,665 Willoughby Avenue,Address,Brooklyn,City,NY,State,11206,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,closed,Thursday,08:00 AM - 09:00 AM,Friday,closed,Saturday,closed,Sunday
Blanche Memorial Church,109-74 Sutphin Boulevard Jamaica NY 11435,Contact: Stella Hill<br>Phone: 718-264-7121<br>Program Type: Pantry<br>Address: 109-74 Sutphin Boulevard<br>City: Jamaica<br>State: NY<br>ZIP Code: 11435<br>Monday: closed<br>Tuesday: 9:30 AM - 10:30 AM<br>Wednesday: closed<br>Thursday: closed<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Stella Hill,Contact,718-264-7121,Phone,Pantry,Program Type,109-74 Sutphin Boulevard,Address,Jamaica,City,NY,State,11435,ZIP Code,closed,Monday,9:30 AM - 10:30 AM,Tuesday,closed,Wednesday,closed,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Blessed Assurance Church of God,2093 Fulton Street Brooklyn NY 11233,Contact: Asuanana Etuk / Idara<br>Phone: 347-965-1725; 646-355-5561<br>Program Type: Pantry<br>Address: 2093 Fulton Street<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11233<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: closed<br>Friday: closed<br>Saturday: 07:00 AM - 11:00 AM<br>Sunday: closed,#icon-1899-F57C00,Asuanana Etuk / Idara,Contact,347-965-1725; 646-355-5561,Phone,Pantry,Program Type,2093 Fulton Street,Address,Brooklyn,City,NY,State,11233,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,closed,Thursday,closed,Friday,07:00 AM - 11:00 AM,Saturday,closed,Sunday
Blessed Sacrament Church,198 Euclid Avenue Brooklyn NY 11208,Contact: Celeste Guitierrez<br>Phone: 718-827-1200<br>Program Type: Pantry<br>Address: 198 Euclid Avenue<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11208<br>Monday: closed<br>Tuesday: closed<br>Wednesday: 9:30 AM - 11:00 AM<br>Thursday: closed<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Celeste Guitierrez,Contact,718-827-1200,Phone,Pantry,Program Type,198 Euclid Avenue,Address,Brooklyn,City,NY,State,11208,ZIP Code,closed,Monday,closed,Tuesday,9:30 AM - 11:00 AM,Wednesday,closed,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Blessed Virgin Mary St. Mary's Winfield,70-31 48th Avenue Woodside NY 11377,Contact: Lourdes LaPolla<br>Phone: 917-751-2162/ 718-672-4848<br>Program Type: Pantry<br>Address: 70-31 48th Avenue<br>City: Woodside<br>State: NY<br>ZIP Code: 11377<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: 09:30 AM - 12:00 PM<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Lourdes LaPolla,Contact,917-751-2162/ 718-672-4848,Phone,Pantry,Program Type,70-31 48th Avenue,Address,Woodside,City,NY,State,11377,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,09:30 AM - 12:00 PM,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Bnai Raphael Chesed Organization,3846 Flatlands Avenue Brooklyn NY 11234,Contact: Kimberly Singh<br>Phone: 718-951-6059<br>Program Type: Pantry<br>Address: 3846 Flatlands Avenue<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11234<br>Monday: 10:00 AM - 04:00 PM<br>Tuesday: 10:00 AM - 04:00 PM<br>Wednesday: 10:00 AM - 04:00 PM<br>Thursday: 10:00 AM - 06:00 PM<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Kimberly Singh,Contact,718-951-6059,Phone,Pantry,Program Type,3846 Flatlands Avenue,Address,Brooklyn,City,NY,State,11234,ZIP Code,10:00 AM - 04:00 PM,Monday,10:00 AM - 04:00 PM,Tuesday,10:00 AM - 04:00 PM,Wednesday,10:00 AM - 06:00 PM,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Boom! Health,3144 3rd Avenue Bronx NY 10451,Contact: Keith Johnson<br>Phone: 718-295-5606 ext 482<br>Program Type: Pantry<br>Address: 3144 3rd Avenue<br>City: Bronx<br>State: NY<br>ZIP Code: 10451<br>Monday: 09:30 AM - 04:00 PM<br>Tuesday: 09:30 AM - 04:00 PM<br>Wednesday: 09:30 AM - 04:00 PM<br>Thursday: 09:30 AM - 04:00 PM<br>Friday: 09:30 AM - 04:00 PM<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Keith Johnson,Contact,718-295-5606 ext 482,Phone,Pantry,Program Type,3144 3rd Avenue,Address,Bronx,City,NY,State,10451,ZIP Code,09:30 AM - 04:00 PM,Monday,09:30 AM - 04:00 PM,Tuesday,09:30 AM - 04:00 PM,Wednesday,09:30 AM - 04:00 PM,Thursday,09:30 AM - 04:00 PM,Friday,closed,Saturday,closed,Sunday
Bright Temple AME Church,812 Faile Street Bronx NY 10474,Contact: Cheryl Ware<br>Phone: 347-653-6839<br>Program Type: Pantry<br>Address: 812 Faile Street<br>City: Bronx<br>State: NY<br>ZIP Code: 10474<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: closed<br>Friday: 10:00 AM - 12:00 PM (First & Third Friday of the month)<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Cheryl Ware,Contact,347-653-6839,Phone,Pantry,Program Type,812 Faile Street,Address,Bronx,City,NY,State,10474,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,closed,Thursday,10:00 AM - 12:00 PM (First & Third Friday of the month),Friday,closed,Saturday,closed,Sunday
Broadway Community Inc.,601 West 114th Street New York NY 10025,"Contact: Michael B. Ennes<br>Phone: 212-864-6100 ext.123, or ext. 0<br>Program Type: Soup Kitchen<br>Address: 601 West 114th Street<br>City: New York<br>State: NY<br>ZIP Code: 10025<br>Monday: 12:30 PM - 02:00 PM<br>Tuesday: closed<br>Wednesday: 12:30 PM - 02:00 PM<br>Thursday: closed<br>Friday: 12:30 PM - 2:00 PM<br>Saturday: #####<br>Sunday: closed",#icon-1899-1A237E,Michael B. Ennes,Contact,"212-864-6100 ext.123, or ext. 0",Phone,Soup Kitchen,Program Type,601 West 114th Street,Address,New York,City,NY,State,10025,ZIP Code,12:30 PM - 02:00 PM,Monday,closed,Tuesday,12:30 PM - 02:00 PM,Wednesday,closed,Thursday,12:30 PM - 2:00 PM,Friday,#####,Saturday,closed,Sunday
Bronx Bethany Community Corporation,964 East 227th Street Bronx NY 10466,Contact: Melanie Blackwood<br>Phone: 718-619-3480/RO-6/23- 646-418-2357<br>Program Type: Pantry<br>Address: 964 East 227 Street<br>City: Bronx<br>State: NY<br>ZIP Code: 10466<br>Monday: -<br>Tuesday: -<br>Wednesday: 9:00 AM - 11:00 AM<br>Thursday: 3:00 PM - 6:00 PM<br>Friday: -<br>Saturday: -<br>Sunday: -,#icon-1899-F57C00,Melanie Blackwood,Contact,718-619-3480/RO-6/23- 646-418-2357,Phone,Pantry,Program Type,964 East 227 Street,Address,Bronx,City,NY,State,10466,ZIP Code,-,Monday,-,Tuesday,9:00 AM - 11:00 AM,Wednesday,3:00 PM - 6:00 PM,Thursday,-,Friday,-,Saturday,-,Sunday
Bronx Food Pantry and Food Hub,402 East 152nd Street Bronx NY 10455,Contact: Carmen Reyes<br>Phone: 347-913-2473<br>Program Type: Pantry<br>Address: 402 East 152nd Street<br>City: Bronx<br>State: NY<br>ZIP Code: 10455<br>Monday: closed<br>Tuesday: closed<br>Wednesday: 05:00 PM - 07:00 PM<br>Thursday: 10:00 AM - 12:00 PM<br>Friday: 10:00 AM - 12:00 PM<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Carmen Reyes,Contact,347-913-2473,Phone,Pantry,Program Type,402 East 152nd Street,Address,Bronx,City,NY,State,10455,ZIP Code,closed,Monday,closed,Tuesday,05:00 PM - 07:00 PM,Wednesday,10:00 AM - 12:00 PM,Thursday,10:00 AM - 12:00 PM,Friday,closed,Saturday,closed,Sunday
Bronx Full Gospel Tabernacle Inc.,4221 Park Avenue Bronx NY 10457,Contact: Merrawattie Persaud<br>Phone: 518-836-9906<br>Program Type: Pantry<br>Address: 4221 Park Avenue<br>City: Bronx<br>State: NY<br>ZIP Code: 10457<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: closed<br>Friday: closed<br>Saturday: 08:00 AM - 09:00 AM<br>Sunday: closed,#icon-1899-F57C00,Merrawattie Persaud,Contact,518-836-9906,Phone,Pantry,Program Type,4221 Park Avenue,Address,Bronx,City,NY,State,10457,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,closed,Thursday,closed,Friday,08:00 AM - 09:00 AM,Saturday,closed,Sunday
Bronx SDA Church,1695 Washington Avenue Bronx NY 10457,Contact: Roy Bartley<br>Phone: 917-435-8643<br>Program Type: Pantry<br>Address: 1695 Washington Avenue<br>City: Bronx<br>State: NY<br>ZIP Code: 10457<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: 11:00 AM - 06:00 PM<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Roy Bartley,Contact,917-435-8643,Phone,Pantry,Program Type,1695 Washington Avenue,Address,Bronx,City,NY,State,10457,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,11:00 AM - 06:00 PM,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Bronx Temple SDA Community Services,495 Willis Avenue Bronx NY 10455,Contact: Mr. Lloyd Gilkes<br>Phone: 347-869-0068<br>Program Type: Pantry<br>Address: 495 Willis Avenue<br>City: Bronx<br>State: NY<br>ZIP Code: 10455<br>Monday: 11:00 AM - 01:00 PM<br>Tuesday: closed<br>Wednesday: 11:00 AM - 01:00 PM<br>Thursday: 12:00 PM - 01:00 PM<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Mr. Lloyd Gilkes,Contact,347-869-0068,Phone,Pantry,Program Type,495 Willis Avenue,Address,Bronx,City,NY,State,10455,ZIP Code,11:00 AM - 01:00 PM,Monday,closed,Tuesday,11:00 AM - 01:00 PM,Wednesday,12:00 PM - 01:00 PM,Thursday,closed,Friday,closed,Saturday,closed,Sunday
Bronx Works The Living Room,800 Barretto Street Bronx NY 10474,Contact: Frank Walrond<br>Phone: 646-334-3561 (cell)<br>Program Type: Soup Kitchen<br>Address: 800 Barretto Street<br>City: Bronx<br>State: NY<br>ZIP Code: 10474<br>Monday: 08:30 AM - 09:30 AM<br>Tuesday: 08:30 AM - 09:30 AM<br>Wednesday: 01:30 PM - 02:20 PM<br>Thursday: 08:30 AM - 09:30 AM<br>Friday: 08:30 AM - 09:30 AM<br>Saturday: 08:30 AM - 09:30 AM<br>Sunday: 08:30 AM - 09:30 AM,#icon-1899-1A237E,Frank Walrond,Contact,646-334-3561 (cell),Phone,Soup Kitchen,Program Type,800 Barretto Street,Address,Bronx,City,NY,State,10474,ZIP Code,08:30 AM - 09:30 AM,Monday,08:30 AM - 09:30 AM,Tuesday,01:30 PM - 02:20 PM,Wednesday,08:30 AM - 09:30 AM,Thursday,08:30 AM - 09:30 AM,Friday,08:30 AM - 09:30 AM,Saturday,08:30 AM - 09:30 AM,Sunday
BronxWorks Heights Senior Center,200 West Tremont Avenue Bronx NY 10453,Contact: Maria Rivera<br>Phone: 646-988-3606 (cell)<br>Program Type: Pantry<br>Address: 200 West Tremont Avenue<br>City: Bronx<br>State: NY<br>ZIP Code: 10453<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: 9:00AM - 1:00PM<br>Friday: closed<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Maria Rivera,Contact,646-988-3606 (cell),Phone,Pantry,Program Type,200 West Tremont Avenue,Address,Bronx,City,NY,State,10453,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,9:00AM - 1:00PM,Thursday,closed,Friday,closed,Saturday,closed,Sunday
BronxWorks-Morris Senior Center,80 East 181st Street Bronx NY 10453,Contact: Rosalina Luongo<br>Phone: 718-933-5300<br>Program Type: Pantry<br>Address: 80 East 181st Street<br>City: Bronx<br>State: NY<br>ZIP Code: 10453<br>Monday: 10:00AM-2:00PM<br>Tuesday: 10:00AM-2:00PM<br>Wednesday: 10:00AM-2:00PM<br>Thursday: 10:00AM-2:00PM<br>Friday: 10:00AM-2:00PM<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Rosalina Luongo,Contact,718-933-5300,Phone,Pantry,Program Type,80 East 181st Street,Address,Bronx,City,NY,State,10453,ZIP Code,10:00AM-2:00PM,Monday,10:00AM-2:00PM,Tuesday,10:00AM-2:00PM,Wednesday,10:00AM-2:00PM,Thursday,10:00AM-2:00PM,Friday,closed,Saturday,closed,Sunday
Brooklyn Faith SDA Church,5518 Church Avenue Brooklyn NY 11203,Contact: Barbara Joseph<br>Phone: 347-691-0293<br>Program Type: Pantry<br>Address: 5518 Church Avenue<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11203<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: 02:00 PM - 04:00 PM<br>Friday: 01:00 PM - 04:00 PM<br>Saturday: closed<br>Sunday: closed,#icon-1899-F57C00,Barbara Joseph,Contact,347-691-0293,Phone,Pantry,Program Type,5518 Church Avenue,Address,Brooklyn,City,NY,State,11203,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,02:00 PM - 04:00 PM,Thursday,01:00 PM - 04:00 PM,Friday,closed,Saturday,closed,Sunday
Brooklyn Faith SDA Church,5518 Church Avenue Brooklyn NY 11203,Contact: Barbara Joseph<br>Phone: 347-691-0293<br>Program Type: Soup Kitchen<br>Address: 5518 Church Avenue<br>City: Brooklyn<br>State: NY<br>ZIP Code: 11203<br>Monday: closed<br>Tuesday: closed<br>Wednesday: closed<br>Thursday: closed<br>Friday: 12:00 PM - 03:00 PM<br>Saturday: closed<br>Sunday: closed,#icon-1899-1A237E,Barbara Joseph,Contact,347-691-0293,Phone,Soup Kitchen,Program Type,5518 Church Avenue,Address,Brooklyn,City,NY,State,11203,ZIP Code,closed,Monday,closed,Tuesday,closed,Wednesday,closed,Thursday,12:00 PM - 03:00 PM,Friday,closed,Saturday,closed,Sunday
